model,maze,maze_size,solved,total_steps,shortest_path_length,efficiency,step,row,col,position,move_taken
gpt-5.2,6x6-3,6,True,130,30,0.2308,0,0,0,"(0, 0)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,1,1,0,"(1, 0)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,2,1,1,"(1, 1)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,3,2,1,"(2, 1)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,4,2,2,"(2, 2)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,5,3,2,"(3, 2)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,6,3,1,"(3, 1)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,7,4,1,"(4, 1)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,8,4,0,"(4, 0)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,9,5,0,"(5, 0)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,10,5,1,"(5, 1)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,11,5,2,"(5, 2)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,12,4,2,"(4, 2)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,13,4,3,"(4, 3)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,14,3,3,"(3, 3)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,15,2,3,"(2, 3)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,16,1,3,"(1, 3)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,17,1,2,"(1, 2)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,18,0,2,"(0, 2)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,19,0,1,"(0, 1)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,20,0,2,"(0, 2)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,21,1,2,"(1, 2)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,22,1,3,"(1, 3)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,23,2,3,"(2, 3)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,24,3,3,"(3, 3)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,25,4,3,"(4, 3)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,26,4,2,"(4, 2)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,27,5,2,"(5, 2)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,28,5,1,"(5, 1)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,29,5,0,"(5, 0)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,30,4,0,"(4, 0)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,31,3,0,"(3, 0)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,32,2,0,"(2, 0)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,33,3,0,"(3, 0)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,34,4,0,"(4, 0)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,35,4,1,"(4, 1)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,36,3,1,"(3, 1)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,37,3,2,"(3, 2)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,38,2,2,"(2, 2)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,39,2,1,"(2, 1)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,40,1,1,"(1, 1)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,41,1,0,"(1, 0)",north
gpt-5.2,6x6-3,6,True,130,30,0.2308,42,0,0,"(0, 0)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,43,1,0,"(1, 0)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,44,1,1,"(1, 1)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,45,2,1,"(2, 1)",east
gpt-5.2,6x6-3,6,True,130,30,0.2308,46,2,2,"(2, 2)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,47,3,2,"(3, 2)",west
gpt-5.2,6x6-3,6,True,130,30,0.2308,48,3,1,"(3, 1)",south
gpt-5.2,6x6-3,6,True,130,30,0.2308,49,4,1,"(4, 1)",west
